zip	city	state	latitude	longitude
501	Holtsville	NY	40.813078	-73.046388
544	Holtsville	NY	40.813223	-73.049288
601	Adjuntas	PR	18.16595	-66.723627
602	Aguada	PR	18.383005	-67.186553
603	Aguadilla	PR	18.433236	-67.151954
604	Aguadilla	PR	18.505289	-67.135899
605	Aguadilla	PR	18.436149	-67.151346
606	Maricao	PR	18.185616	-66.977377
610	Anasco	PR	18.285948	-67.144161
611	Angeles	PR	18.287716	-66.797578
612	Arecibo	PR	18.471326	-66.728149
613	Arecibo	PR	18.472737	-66.719283
614	Arecibo	PR	18.456904	-66.735892
616	Bajadero	PR	18.426456	-66.673779
617	Barceloneta	PR	18.458792	-66.537234
622	Boqueron	PR	18.017976	-67.170627
623	Cabo Rojo	PR	18.086721	-67.15178
624	Penuelas	PR	18.063481	-66.723612
627	Camuy	PR	18.485866	-66.844057
631	Castaner	PR	18.180272	-66.832917
636	Rosario	PR	18.162126	-67.077928
637	Sabana Grande	PR	18.081674	-66.968022
638	Ciales	PR	18.338774	-66.466418
641	Utuado	PR	18.268891	-66.704425
646	Dorado	PR	18.466563	-66.270521
647	Ensenada	PR	17.967309	-66.939935
650	Florida	PR	18.362641	-66.565388
652	Garrochales	PR	18.466248	-66.569371
653	Guanica	PR	17.974015	-66.908699
656	Guayanilla	PR	18.02597	-66.787588
659	Hatillo	PR	18.485446	-66.82488
660	Hormigueros	PR	18.140855	-67.128154
662	Isabela	PR	18.501226	-67.02279
664	Jayuya	PR	18.21983	-66.591354
667	Lajas	PR	18.045169	-67.057853
669	Lares	PR	18.294354	-66.884391
670	Las Marias	PR	18.296381	-67.146608
674	Manati	PR	18.430555	-66.484708
676	Moca	PR	18.399405	-67.113279
677	Rincon	PR	18.343319	-67.255905
678	Quebradillas	PR	18.474927	-66.937286
680	Mayaguez	PR	18.203793	-67.145253
681	Mayaguez	PR	18.204311	-67.144689
682	Mayaguez	PR	18.20383	-67.143514
683	San German	PR	18.084045	-67.046282
685	San Sebastian	PR	18.341548	-66.99628
687	Morovis	PR	18.329095	-66.40424
688	Sabana Hoyos	PR	18.430209	-66.612619
690	San Antonio	PR	18.49316	-67.096972
692	Vega Alta	PR	18.413692	-66.31897
693	Vega Baja	PR	18.44194	-66.398866
694	Vega Baja	PR	18.444623	-66.402557
698	Yauco	PR	18.035256	-66.863322
703	Aguas Buenas	PR	18.261636	-66.103857
704	Aguirre	PR	18.251151	-66.101442
705	Aibonito	PR	18.142125	-66.267614
707	Maunabo	PR	18.010343	-65.896868
714	Arroyo	PR	17.970131	-66.064155
715	Mercedita	PR	18.014885	-66.586461
716	Ponce	PR	18.01462	-66.614749
717	Ponce	PR	18.013291	-66.61449
718	Naguabo	PR	18.214923	-65.732399
719	Naranjito	PR	18.301571	-66.244271
720	Orocovis	PR	18.229109	-66.39152
721	Palmer	PR	18.371798	-65.774509
723	Patillas	PR	18.010671	-66.015222
725	Caguas	PR	18.236227	-66.04134
726	Caguas	PR	18.23305	-66.036044
727	Caguas	PR	18.233993	-66.036446
728	Ponce	PR	18.01307	-66.614009
729	Canovanas	PR	18.379881	-65.908969
730	Ponce	PR	18.02315	-66.62525
731	Ponce	PR	18.014073	-66.617175
732	Ponce	PR	18.036114	-66.611434
733	Ponce	PR	18.020753	-66.620129
734	Ponce	PR	17.986721	-66.608975
735	Ceiba	PR	18.26055	-65.640326
736	Cayey	PR	18.118281	-66.161033
737	Cayey	PR	18.115422	-66.161026
738	Fajardo	PR	18.332258	-65.659254
739	Cidra	PR	18.177401	-66.156056
740	Puerto Real	PR	18.332837	-65.634129
741	Punta Santiago	PR	18.168687	-65.747221
742	Roosevelt Roads	PR	18.238935	-65.627433
744	Rio Blanco	PR	18.217733	-65.795607
745	Rio Grande	PR	18.383385	-65.838061
751	Salinas	PR	17.988778	-66.287538
754	San Lorenzo	PR	18.188518	-65.958889
757	Santa Isabel	PR	17.968229	-66.402656
765	Vieques	PR	18.123576	-65.438423
766	Villalba	PR	18.129578	-66.490474
767	Yabucoa	PR	18.051521	-65.88088
769	Coamo	PR	18.082113	-66.359958
771	Las Piedras	PR	18.182105	-65.869167
772	Loiza	PR	18.433938	-65.880795
773	Luquillo	PR	18.375722	-65.720579
775	Culebra	PR	18.311531	-65.305548
777	Juncos	PR	18.229082	-65.918423
778	Gurabo	PR	18.257108	-65.975738
780	Coto Laurel	PR	18.046755	-66.55022
782	Comerio	PR	18.221934	-66.22722
783	Corozal	PR	18.342583	-66.311101
784	Guayama	PR	17.979829	-66.111453
785	Guayama	PR	17.9789	-66.110228
786	La Plata	PR	18.158211	-66.235998
791	Humacao	PR	18.154496	-65.820757
792	Humacao	PR	18.1513	-65.821929
794	Barranquitas	PR	18.187596	-66.307408
795	Juana Diaz	PR	18.053902	-66.505295
801	SaintThomas	VI	18.35	-64.933333
802	SaintThomas	VI	18.348771	-64.935409
803	SaintThomas	VI	18.35033	-64.935572
804	SaintThomas	VI	18.349002	-64.932125
805	SaintThomas	VI	18.350478	-64.935123
820	Christiansted	VI	17.745943	-64.707272
821	Christiansted	VI	17.746073	-64.706553
822	Christiansted	VI	17.74481	-64.709745
823	Christiansted	VI	17.744235	-64.708266
824	Christiansted	VI	17.745183	-64.704271
830	SaintJohn	VI	18.335154	-64.790707
831	SaintJohn	VI	18.333472	-64.792955
840	Frederiksted	VI	17.712448	-64.882821
841	Frederiksted	VI	17.715086	-64.883394
850	Kingshill	VI	17.77658	-64.82406
851	Kingshill	VI	17.73354	-64.798875
901	San Juan	PR	18.463862	-66.109811
902	San Juan	PR	18.446284	-66.098281
906	San Juan	PR	18.405503	-66.062657
907	San Juan	PR	18.454321	-66.076621
908	San Juan	PR	18.444163	-66.079468
909	San Juan	PR	18.447257	-66.067925
910	San Juan	PR	18.442966	-66.071521
911	San Juan	PR	18.451416	-66.061581
912	San Juan	PR	18.446583	-66.061072
913	San Juan	PR	18.451003	-66.045064
914	San Juan	PR	18.448288	-66.016711
915	San Juan	PR	18.438019	-66.04736
916	San Juan	PR	18.376517	-66.162719
917	San Juan	PR	18.420562	-66.053869
918	San Juan	PR	18.417375	-66.061221
919	San Juan	PR	18.410997	-66.064914
920	San Juan	PR	18.41021	-66.087732
921	San Juan	PR	18.391717	-66.090591
922	San Juan	PR	18.409982	-66.092553
923	San Juan	PR	18.412398	-66.039106
924	San Juan	PR	18.404427	-66.012462
925	San Juan	PR	18.398869	-66.050333
926	San Juan	PR	18.379249	-66.060219
927	San Juan	PR	18.388812	-66.073302
928	San Juan	PR	18.393175	-66.061744
929	San Juan	PR	18.401987	-66.023228
930	San Juan	PR	18.405329	-66.062376
931	San Juan	PR	18.409826	-66.062956
933	San Juan	PR	18.470198	-66.107908
934	Fort Buchanan	PR	18.413161	-66.131635
935	San Juan	PR	18.410481	-66.065613
936	San Juan	PR	18.385207	-66.06312
937	San Juan	PR	18.410859	-66.063834
939	San Juan	PR	18.408286	-66.064668
940	San Juan	PR	18.410886	-66.065084
949	Toa Baja	PR	18.452196	-66.178341
950	Toa Baja	PR	18.448748	-66.172539
951	Toa Baja	PR	18.443138	-66.255769
952	Sabana Seca	PR	18.423816	-66.184972
953	Toa Alta	PR	18.389298	-66.248096
954	Toa Alta	PR	18.390022	-66.246174
955	San Juan	PR	18.409298	-66.064653
956	Bayamon	PR	18.179246	-66.113423
957	Bayamon	PR	18.178309	-66.11107
958	Bayamon	PR	18.177224	-66.116169
959	Bayamon	PR	18.178084	-66.116735
960	Bayamon	PR	18.180281	-66.116276
961	Bayamon	PR	18.180752	-66.112215
962	Catano	PR	18.444331	-66.138606
963	Catano	PR	18.446236	-66.140218
965	Guaynabo	PR	18.38626	-66.117485
966	Guaynabo	PR	18.388179	-66.114391
968	Guaynabo	PR	18.386834	-66.115793
969	Guaynabo	PR	18.386609	-66.113455
970	Guaynabo	PR	18.385147	-66.115683
971	Guaynabo	PR	18.388508	-66.115017
975	San Juan	PR	18.410442	-66.065594
976	Trujillo Alto	PR	18.363332	-66.017348
977	Trujillo Alto	PR	18.362817	-66.017273
978	Saint Just	PR	18.36993	-65.99661
979	Carolina	PR	18.40482	-65.978882
981	Carolina	PR	18.406458	-65.978643
982	Carolina	PR	18.407765	-65.979421
983	Carolina	PR	18.40913	-65.9811
984	Carolina	PR	18.408896	-65.981861
985	Carolina	PR	18.409189	-65.981382
986	Carolina	PR	18.408856	-65.981189
987	Carolina	PR	18.410228	-65.97941
988	Carolina	PR	18.406651	-65.980313
1001	Agawam	MA	42.071523	-72.624257
1001	AGAWAM	MA	42.070206	-72.622739
1002	Amherst	MA	42.37686	-72.46914
1002	CUSHMAN	MA	42.377017	-72.51565
1003	Amherst	MA	42.40524	-72.528427
